Vert_Group,Order,Genus,Species,Common_name,Population_1,Population_2,Population_3,Latitude,Longitude,LatLongEst,Elevation,Years,Year_1,Year_final,Breeding_Cycle,Moult,Life_Stage,LifeHistConf,Jan_Sampled,Feb_Sampled,Mar_Sampled,Apr_Sampled,May_Sampled,June_Sampled,July_Sampled,Aug_Sampled,Sept_Sampled,Oct_Sampled,Nov_Sampled,Dec_Sampled,Time_min,Time_max,CaptureMethod,SampleMethod,MaxLatency_A,MaxLate_Cort,LateStressCort,StressorType,MajorStressPop,Method,A_AntibodyKit,Cort_AntibodyKit,CORT,Androgen,M_A_Mean,M_A_SE,M_A_CV,M_A_N,M_A_Min,M_A_Max,M_A_RemoveOutlier,F_A_Mean,F_A_SE,F_A_CV,F_A_N,F_A_Min,F_A_Max,F_A_RemoveOutlier,M_BC_Mean,M_BC_SE,M_BC_CV,M_BC_N,M_BC_Min,M_BC_Max,M_BC_RemoveOutlir,F_BC_Mean,F_BC_SE,F_BC_CV,F_BC_N,F_BC_Min,F_BC_Max,F_BC_RemoveOutlir,M_SC_Mean,M_SC_SE,M_SC_CV,M_SC_N,M_SC_Min,M_SC_Max,M_SC_RemoveOutlier,F_SC_Mean,F_SC_SE,F_SC_CV,F_SC_N,F_SC_Min,F_SC_Max,F_SC_RemoveOutlier,OutlierCriteria,Notes,Lab_ID,Ref_ID,Migratory_Status,Mixed_Status_Species,Notes_Migration,Additional_Sources_Migration
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Queen's University Biological Station, Elgin, Ontario, Canada","Kingston, Ontario, Canada",null,44.567,-76.325,Reported,130,2013,2013,2013,Breeding,N,Breeding,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,5:00,10:00,mist net with playback,Active,null,3,null,null,null,RIA,null,Esoterix B3–163 ,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12.31,1.86,64.10488772,18,3.56,33.11,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,IT Moore,446,Migratory,Yes,Populations that breed in southern and western US believed to be nonmigratory.,
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Brown County, Indiana, USA",null,null,39.11,-86.26,Estimated,230,"1986, 1988",1986,1988,Nonbreeding,null,Postbreeding,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,7:00,11:00,potter trap,Attractant,12.5,12.5,null,null,null,null,Wingfield method,null,corticosterone,testosterone,0.11,0.07,155.87662,6,null,null,N,null,null,null,null,null,null,null,4.14,0.74,43.78314999,6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Johnsen,109,Migratory,Yes,Populations that breed in southern and western US believed to be nonmigratory.,
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Brown County, Indiana, USA",null,null,39.11,-86.26,Estimated,230,"1986, 1988",1986,1988,Breeding,null,Young care,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,7:00,11:00,potter trap,Attractant,12.5,12.5,null,null,null,null,Wingfield method,null,corticosterone,testosterone,1.14,0.32,140.3508772,25,null,null,N,null,null,null,null,null,null,null,10.79,1.6,74.14272475,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Johnsen,109,Migratory,Yes,Populations that breed in southern and western US believed to be nonmigratory.,
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Brown County, Indiana, USA",null,null,39.11,-86.26,Estimated,230,"1986, 1988",1986,1988,Breeding,null,Prebreeding,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,7:00,11:00,potter trap,Attractant,12.5,12.5,null,null,null,null,Wingfield method,null,corticosterone,testosterone,1.88,0.6,71.36387162,5,null,null,N,null,null,null,null,null,null,null,5.68,1.01,39.76106791,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,male arrival on territories,Johnsen,109,Migratory,Yes,Populations that breed in southern and western US believed to be nonmigratory.,
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Brown County, Indiana, USA",null,null,39.11,-86.26,Estimated,230,"1986, 1988",1986,1988,Breeding,null,Incubation,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,7:00,11:00,potter trap,Attractant,12.5,12.5,null,null,null,null,Wingfield method,null,corticosterone,testosterone,2.5,0.34,59.28102563,19,null,null,N,null,null,null,null,null,null,null,13.95,2.9,90.61510349,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Johnsen,109,Migratory,Yes,Populations that breed in southern and western US believed to be nonmigratory.,
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Brown County, Indiana, USA",null,null,39.11,-86.26,Estimated,230,"1986, 1988",1986,1988,Breeding,null,Prebreeding,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,7:00,11:00,potter trap,Attractant,12.5,12.5,null,null,null,null,Wingfield method,null,corticosterone,testosterone,3.28,0.51,72.93024505,22,null,null,N,null,null,null,null,null,null,null,12.22,1.31,50.28187108,22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,female arrival on territories,Johnsen,109,Migratory,Yes,Populations that breed in southern and western US believed to be nonmigratory.,
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Brown County, Indiana, USA",null,null,39.11,-86.26,Estimated,230,"1986, 1988",1986,1988,Breeding,null,Prebreeding,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,7:00,11:00,potter trap,Attractant,12.5,12.5,null,null,null,null,Wingfield method,null,corticosterone,testosterone,4.35,0.44,49.55289595,24,null,null,N,null,null,null,null,null,null,null,16.36,1.89,56.5957899,24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Johnsen,109,Migratory,Yes,Populations that breed in southern and western US believed to be nonmigratory.,
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,230,1990,1990,1990,Breeding,null,null,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,8:00,12:00,"trap, baited (seeds)",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,2.89,0.272,49.80237762,28,null,null,N,null,null,null,null,null,null,null,8.03,1.3,85.66567134,28,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wingfield,9,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,230,1987,1987,1987,Breeding,null,null,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,8:00,12:00,"trap, baited (seeds)",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,4.21,0.57,57.44192854,18,null,null,N,null,null,null,null,null,null,null,7.66,1.06,58.71017139,18,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wingfield,9,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,230,1988,1988,1988,Breeding,null,null,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,8:00,12:00,"trap, baited (seeds)",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,4.29,0.707,100.2450608,37,null,null,N,null,null,null,null,null,null,null,7.24,0.983,82.58778408,37,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wingfield,9,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,230,1989,1989,1989,Breeding,null,null,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,8:00,12:00,"trap, baited (seeds)",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,4.38,0.663,82.9086885,30,null,null,N,null,null,null,null,null,null,null,10.41,1.11,58.40269345,30,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wingfield,9,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,300,1987,1987,1987,Breeding,null,"Young care, Postbreeding",N,N,N,N,N,Y,N,N,N,N,N,N,N,null,null,"funnel trap, baited",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,0.001,null,null,3,null,null,N,null,null,null,null,null,null,null,2.2356,1.3197,102.2449209,3,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subadult Male Floaters,Wingfield,65,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Columbia National Wildlife Refuge, Washington, USA",null,null,46.930956,-119.247314,Estimated,300,1987,1987,1987,Breeding,null,"Young care, Postbreeding",N,N,N,N,N,N,Y,N,N,N,N,N,N,null,null,"funnel trap, baited",Attractant,10,10,null,null,null,RIA,null,null,corticosterone,testosterone,0.1344,null,null,1,null,null,N,null,null,null,null,null,null,null,1.462,null,null,1,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subadult Male Floaters,Wingfield,65,Resident,Yes,"Paper says that males are resident, and only males were sampled in these studies.",
