"Latitude","Longitude","Pop_ID"
68.76478,-148.85213,"68.76478_-148.85213_Motacilla_flava"
NA,NA,"null_null_Motacilla_flava"
9.074,-79.66,"9.074_-79.66_Myrmeciza_longipes"
68.62582,-149.59455,"68.62582_-149.59455_Oenanthe_oenanthe"
34.337,-110.937,"34.337_-110.937_Oreothlypis_celata"
32.53,-111.25,"32.53_-111.25_Parabuteo_unicinctus"
64.83333,-147.66667,"64.83333_-147.66667_Parus_atricapillus"
56.217,-4.217,"56.217_-4.217_Parus_caeruleus"
51.223,4.41,"51.223_4.41_Parus_major"
61.333,22.167,"61.333_22.167_Parus_major"
47.74,8.96,"47.74_8.96_Parus_major"
47.766,9,"47.766_9_Parus_major"
47.742,-122.984,"47.742_-122.984_Parus_rufescens"
33.429,-111.943,"33.429_-111.943_Passer_domesticus"
46.15,-0.4,"46.15_-0.4_Passer_domesticus"
46.147,-0.425,"46.147_-0.425_Passer_domesticus"
33.45,-112.067,"33.45_-112.067_Passer_domesticus"
33.944,-112.385,"33.944_-112.385_Passer_domesticus"
40.467,-74.65,"40.467_-74.65_Passer_domesticus"
40.8,-81.967,"40.8_-81.967_Passer_domesticus"
35,-106.4,"35_-106.4_Passer_domesticus"
42.2,-71,"42.2_-71_Passer_domesticus"
42,-73.75,"42_-73.75_Passer_domesticus"
68.633,-149.633,"68.633_-149.633_Passerculus_sandwichensis"
37.133333,-91.05,"37.133333_-91.05_Passerina_cyanea"
37.317,-91,"37.317_-91_Passerina_cyanea"
39,-93.033,"39_-93.033_Passerina_cyanea"
31.760009,-110.867286,"31.760009_-110.867286_Peucaea_carpalis"
31.49,-110.55,"31.49_-110.55_Peucaea_carpalis"
-0.38,-91.53,"-0.38_-91.53_Phalacrocorax_harrisi"
63.987,-81.697,"63.987_-81.697_Phalaropus_fulicarius"
71.316667,-156.633333,"71.316667_-156.633333_Phalaropus_fulicarius"
48.01,11.15,"48.01_11.15_Phoenicurus_ochruros"
57.7,11.9667,"57.7_11.9667_Phylloscopus_trochilus"
63.967,16.12,"63.967_16.12_Phylloscopus_trochilus"
34.63,-77.317,"34.63_-77.317_Picoides_borealis"
42.405,-85.401,"42.405_-85.401_Pipilo_erythrophthalmus"
42.405,-85.401,"42.405_-85.401_Piranga_olivacea"
71.122103,-156.396332,"71.122103_-156.396332_Plectrophenax_nivalis"
76.533,-68.833,"76.533_-68.833_Plectrophenax_nivalis"
-13,31.5,"-13_31.5_Plocepasser_mahali"
-28.43,152.45,"-28.43_152.45_Ptilonorhynchus_violaceus"
-31.4,141.708,"-31.4_141.708_Ptilotula_penicillatus"
30.8667,34.7833,"30.8667_34.7833_Pycnonotus_goiavier"
-66.667,140,"-66.667_140_Pygoscelis_adeliae"
-77.217,166.467,"-77.217_166.467_Pygoscelis_adeliae"
-77.219,166.475,"-77.219_166.475_Pygoscelis_adeliae"
9.074,-79.66,"9.074_-79.66_Ramphocelus_dimidiatus"
78.9,12.217,"78.9_12.217_Rissa_tridactyla"
78.933,12.217,"78.933_12.217_Rissa_tridactyla"
-0.645948,36.054354,"-0.645948_36.054354_Saxicola_torquatus"
33.26,-111.95,"33.26_-111.95_Scardafella_inca"
43.93,-71.75,"43.93_-71.75_Setophaga_caerulescens"
